 branch       t        N        S       dN/dS    dN       dS        N*dN   S*dS
 963..964     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 964..662     0.008    420.6    164.4   0.0968   0.0008   0.0080    0.3    1.3
 964..965     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
 965..836     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 965..848     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 963..966     0.041    420.6    164.4   0.0968   0.0038   0.0393    1.6    6.5
 966..967     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 967..968     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 968..81      0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
 968..969     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
 969..215     0.020    420.6    164.4   0.0968   0.0019   0.0192    0.8    3.2
 969..887     0.010    420.6    164.4   0.0968   0.0009   0.0091    0.4    1.5
 967..970     0.008    420.6    164.4   0.0968   0.0008   0.0080    0.3    1.3
 970..971     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 971..115     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
 971..318     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 970..972     0.003    420.6    164.4   0.0968   0.0003   0.0033    0.1    0.5
 972..386     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 972..960     0.011    420.6    164.4   0.0968   0.0010   0.0101    0.4    1.7
 966..973     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
 973..974     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 974..975     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 975..976     0.020    420.6    164.4   0.0968   0.0018   0.0190    0.8    3.1
 976..311     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 976..892     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 975..977     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
 977..267     0.014    420.6    164.4   0.0968   0.0013   0.0137    0.6    2.3
 977..978     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
 978..979     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
 979..980     0.015    420.6    164.4   0.0968   0.0014   0.0145    0.6    2.4
 980..981     0.008    420.6    164.4   0.0968   0.0007   0.0076    0.3    1.2
 981..733     0.033    420.6    164.4   0.0968   0.0030   0.0313    1.3    5.2
 981..982     0.007    420.6    164.4   0.0968   0.0006   0.0066    0.3    1.1
 982..401     0.069    420.6    164.4   0.0968   0.0063   0.0655    2.7   10.8
 982..511     0.038    420.6    164.4   0.0968   0.0035   0.0362    1.5    5.9
 980..983     0.005    420.6    164.4   0.0968   0.0005   0.0048    0.2    0.8
 983..675     0.025    420.6    164.4   0.0968   0.0023   0.0237    1.0    3.9
 983..984     0.046    420.6    164.4   0.0968   0.0043   0.0442    1.8    7.3
 984..985     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
 985..986     0.006    420.6    164.4   0.0968   0.0005   0.0057    0.2    0.9
 986..987     0.001    420.6    164.4   0.0968   0.0001   0.0012    0.0    0.2
 987..988     0.045    420.6    164.4   0.0968   0.0041   0.0424    1.7    7.0
 988..144     0.040    420.6    164.4   0.0968   0.0037   0.0380    1.5    6.2
 988..989     0.015    420.6    164.4   0.0968   0.0013   0.0139    0.6    2.3
 989..990     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
 990..991     0.009    420.6    164.4   0.0968   0.0008   0.0082    0.3    1.4
 991..528     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
 991..992     0.009    420.6    164.4   0.0968   0.0008   0.0082    0.3    1.3
 992..355     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 992..993     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
 993..994     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
 994..461     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 994..176     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
 993..995     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
